index,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,keyword_bugs,fastread_bugs
188,mainTest.py,2.0,2.0,2.0,1.0,23.0,4.0,18.0,4.0,2.0,9.0,8.0,264.0,53.0,176.0,21.0,154.0,45.0,2.0,0.0,141.0,19.0,122.0,2.0,2.0,2.0,1.0,4.0,4.0,4.0,1.0,1.0,0.26,18.0,18.0,18.0,9.0,61.0,76
189,molecule.py,1.0,1.0,1.0,1.0,11.0,1.0,7.0,3.0,2.0,32.0,31.0,476.0,79.0,265.0,52.0,213.0,140.0,2.0,0.0,225.0,48.0,177.0,2.0,2.0,2.0,1.0,7.0,7.0,7.0,7.0,2.0,0.53,58.0,58.0,58.0,44.0,90.0,124
190,mopac.py,4.0,4.0,4.0,2.0,25.0,3.0,17.0,6.0,6.0,8.0,8.0,337.0,58.0,205.0,24.0,181.0,86.0,0.0,0.0,167.0,24.0,143.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,9.0,5.0,0.42,33.0,33.0,33.0,21.0,37.0,45
191,mopacTest.py,2.0,2.0,2.0,1.0,17.0,3.0,10.0,5.0,3.0,10.0,9.0,224.0,50.0,129.0,24.0,102.0,57.0,4.0,1.0,107.0,21.0,86.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,0.44,24.0,24.0,24.0,10.0,29.0,38
192,qmdata.py,1.0,1.0,1.0,1.0,19.0,1.0,17.0,1.0,1.0,4.0,4.0,89.0,9.0,73.0,19.0,54.0,8.0,0.0,0.0,41.0,8.0,33.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,1.0,0.11,7.0,7.0,7.0,4.0,16.0,20
193,qmverifier.py,2.0,2.0,2.0,1.0,16.0,2.0,9.0,5.0,1.0,3.0,3.0,71.0,15.0,31.0,6.0,25.0,26.0,0.0,0.0,26.0,6.0,20.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,3.0,3.0,0.84,6.0,6.0,6.0,5.0,6.0,10
194,symmetry.py,1.0,1.0,1.0,1.0,15.0,1.0,13.0,2.0,3.0,12.0,11.0,257.0,47.0,159.0,18.0,141.0,53.0,1.0,0.0,87.0,17.0,70.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,3.0,3.0,0.33,22.0,22.0,22.0,16.0,49.0,57
195,quantity.py,3.0,3.0,3.0,2.0,14.0,1.0,8.0,4.0,5.0,38.0,37.0,742.0,120.0,371.0,45.0,326.0,251.0,1.0,0.0,308.0,45.0,263.0,1.0,1.0,1.0,1.0,21.0,21.0,21.0,20.0,4.0,0.68,117.0,117.0,117.0,84.0,25.0,26
196,quantityTest.py,1.0,1.0,1.0,1.0,8.0,0.0,5.0,3.0,21.0,89.0,89.0,1041.0,141.0,508.0,115.0,393.0,392.0,0.0,0.0,506.0,115.0,391.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.77,99.0,99.0,99.0,89.0,31.0,39
197,reaction.py,5.0,5.0,5.0,2.0,25.0,1.0,17.0,6.0,2.0,38.0,38.0,1100.0,124.0,674.0,77.0,597.0,311.0,0.0,0.0,528.0,66.0,462.0,0.0,0.0,0.0,0.0,55.0,55.0,55.0,19.0,4.0,0.46,204.0,204.0,204.0,90.0,64.0,85
