index,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs,fastread_bugs
89,amber2dcd.py,2.0,2.0,2.0,1.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,42.0,11.0,20.0,4.0,16.0,14.0,2.0,0.0,20.0,4.0,16.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.7,2.0,2.0,2.0,1.0,0.0,13
90,backbone_dihedral.py,6.0,6.0,6.0,1.0,49.0,0.0,0.0,0.0,0.0,1.0,0.0,88.0,19.0,54.0,5.0,49.0,16.0,32.0,2.0,54.0,5.0,49.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,1.0,1.0,0.3,6.0,6.0,6.0,1.0,0.0,15
91,blocks.py,3.0,3.0,3.0,1.0,12.0,0.0,6.0,0.0,0.0,3.0,2.0,69.0,19.0,41.0,7.0,34.0,10.0,9.0,1.0,41.0,7.0,34.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,2.0,0.24,9.0,9.0,9.0,3.0,0.0,16
92,dcd2xtc.py,2.0,2.0,2.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,31.0,10.0,12.0,3.0,9.0,10.0,2.0,0.0,12.0,3.0,9.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.83,2.0,2.0,2.0,1.0,0.0,12
93,lipid_order_parameters.py,2.0,2.0,2.0,1.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,29.0,9.0,17.0,2.0,15.0,4.0,2.0,0.0,17.0,2.0,15.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.24,2.0,2.0,2.0,1.0,0.0,15
94,make_MthK_tetramer.py,1.0,1.0,1.0,1.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,5.0,12.0,1.0,11.0,9.0,1.0,0.0,12.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.75,1.0,1.0,1.0,1.0,0.0,11
95,membrane-composition.py,5.0,5.0,5.0,3.0,37.0,0.0,2.0,1.0,0.0,2.0,1.0,121.0,24.0,80.0,7.0,73.0,24.0,121.0,2.0,53.0,7.0,46.0,10.0,10.0,10.0,6.0,10.0,10.0,10.0,6.0,3.0,0.3,11.0,11.0,11.0,7.0,0.0,15
96,membrane-leaflets.py,3.0,3.0,3.0,1.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,50.0,10.0,16.0,4.0,12.0,24.0,3.0,0.0,16.0,4.0,12.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,2.0,1.5,3.0,3.0,3.0,1.0,0.0,14
97,membrane-parameters.py,4.0,4.0,4.0,3.0,36.0,2.0,8.0,2.0,0.0,2.0,1.0,138.0,31.0,77.0,7.0,70.0,37.0,25.0,1.0,49.0,7.0,42.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,6.0,3.0,0.48,8.0,8.0,8.0,7.0,0.0,14
98,multimers-analysis.py,4.0,4.0,4.0,2.0,23.0,3.0,16.0,6.0,0.0,8.0,7.0,236.0,41.0,127.0,10.0,117.0,69.0,2.0,0.0,136.0,10.0,126.0,2.0,2.0,2.0,1.0,13.0,13.0,13.0,6.0,4.0,0.54,35.0,35.0,35.0,19.0,0.0,15
