index,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs,human_bugs
2001,ostream_proxy.h,0.0,2.0,0.0,49.0,70.0,127.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,24.0,244.0,49.0,66.0,35.0,23.0,127.0,0.0,4.0,33.0,58.0,30.0,0.0,28.0,1.0,1.0,1.0,1.0,0.0,1.92,24.0,24.0,24.0,24.0,9.0,11
2002,compare.C,12.0,67.0,11.0,75.0,284.0,69.0,11.0,8.0,11.0,3.0,90.0,12.0,67.0,11.0,0.0,4.0,428.0,75.0,270.0,65.0,180.0,66.0,4.0,14.0,98.0,136.0,25.0,0.0,111.0,19.0,18.0,20.0,12.0,3.0,0.24,42.0,32.0,43.0,15.0,10.0,13
2003,qoi_set.h,0.0,4.0,0.0,60.0,106.0,81.0,2.0,2.0,2.0,1.0,4.0,0.0,4.0,0.0,2.0,16.0,245.0,60.0,101.0,50.0,30.0,81.0,0.0,5.0,56.0,82.0,35.0,0.0,47.0,7.0,7.0,7.0,1.0,4.0,0.8,34.0,34.0,37.0,16.0,8.0,10
2004,H-qoi.C,9.0,20.0,10.0,31.0,62.0,37.0,3.0,3.0,3.0,1.0,36.0,9.0,20.0,10.0,0.0,3.0,122.0,31.0,61.0,26.0,36.0,37.0,0.0,1.0,36.0,47.0,26.0,0.0,21.0,5.0,5.0,5.0,1.0,4.0,0.61,10.0,10.0,10.0,3.0,10.0,12
2005,expatn.c,11.0,126.0,8.0,13.0,129.0,67.0,24.0,8.0,24.0,24.0,140.0,11.0,126.0,8.0,0.0,1.0,204.0,13.0,126.0,8.0,109.0,67.0,0.0,3.0,70.0,96.0,5.0,0.0,91.0,24.0,8.0,24.0,24.0,2.0,0.53,24.0,8.0,24.0,24.0,0.0,0
2006,xdr_soln.C,42.0,126.0,4.0,54.0,132.0,22.0,16.0,15.0,16.0,1.0,172.0,31.0,63.0,4.0,0.0,1.0,207.0,43.0,66.0,13.0,44.0,22.0,72.0,5.0,61.0,72.0,11.0,0.0,61.0,16.0,15.0,16.0,1.0,5.0,0.33,16.0,15.0,16.0,1.0,8.0,9
2007,fe_xyz_map.C,34.0,135.0,36.0,41.0,138.0,50.0,47.0,46.0,47.0,1.0,197.0,34.0,133.0,36.0,0.0,1.0,220.0,41.0,135.0,41.0,97.0,50.0,0.0,3.0,139.0,165.0,33.0,2.0,130.0,47.0,46.0,47.0,1.0,6.0,0.37,47.0,46.0,47.0,1.0,17.0,19
2008,linear_solver.h,0.0,5.0,0.0,64.0,140.0,156.0,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,9.0,326.0,64.0,128.0,104.0,22.0,156.0,0.0,12.0,38.0,50.0,39.0,0.0,11.0,2.0,2.0,2.0,1.0,1.0,1.22,11.0,11.0,11.0,9.0,16.0,18
2009,o_string_stream.h,0.0,0.0,0.0,85.0,129.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.0,14.0,0.0,0.0,0.0,16.0,359.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2
2010,face_tri.C,6.0,26.0,2.0,56.0,135.0,29.0,11.0,9.0,12.0,1.0,34.0,6.0,26.0,2.0,0.0,5.0,219.0,56.0,133.0,26.0,92.0,29.0,0.0,2.0,110.0,147.0,23.0,0.0,124.0,18.0,16.0,18.0,3.0,4.0,0.22,57.0,46.0,60.0,7.0,16.0,16
