index,File,AvgCyclomatic,AvgCyclomaticModified,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclExecutableUnit,CountDeclModule,CountDeclProgunit,CountDeclSubprogram,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumEssential,Bugs
336,m_glue_lotf.F90,4.0,4.0,1.0,51.0,11.0,29.0,10.0,10.0,1.0,1.0,10.0,766.0,140.0,327.0,92.0,234.0,306.0,290.0,79.0,211.0,6.0,6.0,1.0,2.0,0.94,42.0,42.0,10.0,0.0
337,m_tdep_sym.F90,13.0,13.0,2.0,110.0,13.0,75.0,24.0,5.0,1.0,1.0,5.0,611.0,83.0,407.0,120.0,301.0,132.0,404.0,96.0,308.0,39.0,39.0,3.0,4.0,0.32,68.0,68.0,11.0,0.0
338,xmpi_ialltoallv.finc,1.0,1.0,1.0,35.0,8.0,16.0,11.0,3.0,0.0,3.0,3.0,177.0,30.0,48.0,27.0,6.0,99.0,33.0,27.0,6.0,1.0,1.0,1.0,0.0,2.06,3.0,3.0,3.0,0.0
339,m_eval_lotf.F90,10.0,10.0,1.0,104.0,21.0,68.0,18.0,7.0,1.0,1.0,7.0,913.0,168.0,493.0,149.0,345.0,272.0,455.0,131.0,324.0,31.0,31.0,5.0,5.0,0.55,74.0,74.0,12.0,0.0
340,m_haydock_io.F90,2.0,2.0,1.0,37.0,9.0,18.0,11.0,7.0,1.0,1.0,7.0,529.0,109.0,159.0,91.0,67.0,281.0,145.0,79.0,66.0,7.0,7.0,3.0,3.0,1.77,19.0,19.0,9.0,0.0
341,dfpt_nstwf.F90,24.0,24.0,2.0,280.0,47.0,159.0,81.0,2.0,0.0,1.0,2.0,586.0,82.0,297.0,103.0,193.0,223.0,248.0,61.0,187.0,45.0,45.0,3.0,2.0,0.75,48.0,48.0,4.0,0.0
342,posdopspectra.F90,13.0,13.0,4.0,142.0,20.0,105.0,18.0,4.0,0.0,4.0,4.0,611.0,90.0,421.0,62.0,358.0,107.0,447.0,62.0,385.0,31.0,31.0,11.0,4.0,0.25,55.0,55.0,17.0,0.0
343,m_results_respfn.F90,5.0,5.0,3.0,42.0,7.0,21.0,14.0,2.0,1.0,1.0,2.0,211.0,37.0,59.0,31.0,27.0,119.0,49.0,27.0,22.0,8.0,8.0,5.0,4.0,2.02,11.0,11.0,6.0,0.0
344,dfpt_ewald.F90,48.0,48.0,1.0,268.0,23.0,208.0,41.0,1.0,0.0,1.0,1.0,325.0,27.0,210.0,34.0,175.0,94.0,207.0,30.0,177.0,48.0,48.0,1.0,9.0,0.45,48.0,48.0,1.0,0.0
345,m_sigma_driver.F90,81.0,80.0,5.0,725.0,96.0,474.0,178.0,5.0,1.0,1.0,5.0,3973.0,504.0,2450.0,611.0,1805.0,1136.0,2047.0,266.0,1781.0,258.0,255.0,14.0,8.0,0.46,405.0,401.0,27.0,0.0
346,abi_xheev.f90,2.0,2.0,1.0,55.0,9.0,29.0,18.0,6.0,0.0,6.0,6.0,444.0,73.0,176.0,81.0,31.0,204.0,115.0,77.0,38.0,12.0,12.0,1.0,2.0,1.16,17.0,17.0,6.0,0.0
347,m_esymm.F90,14.0,14.0,3.0,137.0,22.0,82.0,37.0,9.0,1.0,1.0,9.0,1660.0,282.0,810.0,270.0,501.0,622.0,687.0,172.0,515.0,34.0,33.0,17.0,7.0,0.77,128.0,127.0,31.0,0.0
348,ccfft.F90,7.0,7.0,1.0,78.0,17.0,42.0,20.0,1.0,0.0,1.0,1.0,156.0,21.0,44.0,20.0,23.0,94.0,38.0,16.0,22.0,7.0,7.0,1.0,2.0,2.14,7.0,7.0,1.0,0.0
349,elt_ewald.F90,48.0,48.0,1.0,394.0,51.0,268.0,91.0,1.0,0.0,1.0,1.0,445.0,55.0,270.0,44.0,225.0,138.0,239.0,31.0,208.0,48.0,48.0,1.0,11.0,0.51,48.0,48.0,1.0,0.0
350,orbmag.F90,10.0,10.0,0.0,176.0,36.0,117.0,25.0,4.0,0.0,1.0,1.0,785.0,150.0,472.0,163.0,308.0,179.0,350.0,69.0,281.0,41.0,41.0,1.0,11.0,0.38,41.0,41.0,1.0,0.0
351,m_ptg_Cs.F90,2.0,2.0,1.0,58.0,7.0,39.0,12.0,1.0,1.0,1.0,1.0,108.0,16.0,44.0,21.0,22.0,50.0,37.0,14.0,23.0,2.0,2.0,1.0,1.0,1.14,2.0,2.0,1.0,0.0
352,atomden.F90,40.0,40.0,6.0,362.0,31.0,268.0,77.0,1.0,0.0,1.0,1.0,443.0,34.0,270.0,61.0,208.0,155.0,237.0,34.0,203.0,40.0,40.0,6.0,7.0,0.57,40.0,40.0,6.0,0.0
353,optics_vloc.F90,24.0,24.0,7.0,235.0,36.0,161.0,44.0,1.0,0.0,1.0,1.0,289.0,39.0,163.0,50.0,112.0,95.0,147.0,35.0,112.0,24.0,24.0,7.0,7.0,0.58,24.0,24.0,7.0,0.0
354,m_VectorInt.F90,2.0,2.0,1.0,23.0,4.0,13.0,6.0,7.0,1.0,1.0,7.0,467.0,51.0,111.0,56.0,46.0,307.0,114.0,55.0,59.0,3.0,3.0,1.0,2.0,2.77,18.0,18.0,7.0,0.0
355,getgsc.F90,12.0,12.0,3.0,135.0,24.0,89.0,24.0,1.0,0.0,1.0,1.0,197.0,27.0,91.0,38.0,52.0,83.0,88.0,25.0,63.0,12.0,12.0,3.0,2.0,0.91,12.0,12.0,3.0,0.0
356,m_tdep_latt.F90,20.0,20.0,1.0,157.0,13.0,105.0,48.0,2.0,1.0,1.0,2.0,373.0,39.0,251.0,79.0,175.0,103.0,304.0,56.0,248.0,34.0,34.0,1.0,3.0,0.41,40.0,40.0,2.0,0.0
357,m_pred_velverlet.F90,28.0,28.0,1.0,213.0,39.0,120.0,72.0,1.0,1.0,1.0,1.0,308.0,51.0,134.0,43.0,90.0,143.0,127.0,37.0,90.0,28.0,28.0,1.0,3.0,1.07,28.0,28.0,1.0,0.0
358,test_spline_integrate.F90,2.0,2.0,1.0,82.0,11.0,51.0,20.0,1.0,0.0,1.0,1.0,86.0,12.0,52.0,12.0,22.0,23.0,34.0,12.0,22.0,2.0,2.0,1.0,1.0,0.44,2.0,2.0,1.0,0.0
359,pawgrnl.F90,74.0,74.0,1.0,362.0,23.0,309.0,38.0,4.0,0.0,1.0,1.0,1544.0,96.0,1239.0,168.0,1070.0,243.0,1124.0,72.0,1052.0,299.0,299.0,4.0,12.0,0.20,299.0,299.0,4.0,0.0
360,m_tdep_abitypes.F90,9.0,9.0,3.0,79.0,8.0,58.0,14.0,6.0,1.0,1.0,6.0,532.0,64.0,380.0,130.0,251.0,101.0,356.0,106.0,250.0,30.0,30.0,18.0,9.0,0.27,54.0,54.0,23.0,0.0
361,m_gstate.F90,38.0,38.0,1.0,355.0,53.0,234.0,71.0,6.0,1.0,1.0,6.0,2617.0,344.0,1481.0,343.0,1065.0,814.0,1176.0,225.0,951.0,162.0,162.0,1.0,5.0,0.55,228.0,228.0,6.0,0.0
362,paw_symcprj.F90,6.0,6.0,0.0,72.0,7.0,45.0,23.0,4.0,0.0,2.0,2.0,394.0,38.0,185.0,61.0,123.0,191.0,186.0,54.0,132.0,14.0,14.0,1.0,5.0,1.03,27.0,27.0,2.0,0.0
363,m_eph_driver.F90,5.0,5.0,0.0,53.0,7.0,34.0,11.0,12.0,1.0,1.0,1.0,748.0,103.0,430.0,119.0,301.0,229.0,391.0,95.0,296.0,69.0,63.0,1.0,4.0,0.53,69.0,63.0,1.0,0.0
364,check_invars_f90.f90,11.0,11.0,8.0,61.0,14.0,47.0,2.0,1.0,0.0,1.0,1.0,61.0,14.0,47.0,11.0,36.0,2.0,54.0,11.0,43.0,11.0,11.0,8.0,2.0,0.04,11.0,11.0,8.0,0.0
365,m_mathfuncs.F90,1.0,1.0,1.0,17.0,3.0,8.0,6.0,4.0,1.0,1.0,4.0,115.0,23.0,45.0,27.0,16.0,52.0,40.0,24.0,16.0,3.0,3.0,1.0,2.0,1.16,6.0,6.0,4.0,0.0
366,m_upf2abinit.F90,9.0,9.0,3.0,136.0,20.0,75.0,45.0,3.0,1.0,1.0,3.0,591.0,78.0,247.0,100.0,146.0,284.0,211.0,71.0,140.0,13.0,13.0,7.0,3.0,1.15,28.0,28.0,9.0,0.0
367,m_tdep_readwrite.F90,33.0,33.0,14.0,233.0,11.0,203.0,23.0,2.0,1.0,1.0,2.0,582.0,36.0,469.0,102.0,354.0,87.0,448.0,88.0,360.0,65.0,65.0,27.0,4.0,0.19,66.0,66.0,28.0,0.0
368,libtetrabz_polcmplx_mod.F90,4.0,4.0,1.0,78.0,2.0,44.0,32.0,10.0,1.0,1.0,10.0,858.0,24.0,456.0,97.0,358.0,384.0,393.0,87.0,306.0,15.0,15.0,7.0,4.0,0.84,48.0,48.0,16.0,0.0
369,pawgylmg.F90,7.0,7.0,1.0,99.0,23.0,59.0,17.0,1.0,0.0,1.0,1.0,143.0,26.0,61.0,30.0,30.0,58.0,49.0,17.0,32.0,7.0,7.0,1.0,3.0,0.95,7.0,7.0,1.0,0.0
370,rf2_init.F90,58.0,58.0,10.0,413.0,58.0,294.0,91.0,2.0,0.0,1.0,1.0,897.0,119.0,591.0,103.0,488.0,250.0,550.0,51.0,499.0,116.0,116.0,21.0,6.0,0.42,116.0,116.0,21.0,0.0
371,m_berrytk.F90,29.0,29.0,1.0,311.0,55.0,154.0,112.0,2.0,1.0,1.0,2.0,818.0,124.0,323.0,61.0,261.0,395.0,265.0,45.0,220.0,51.0,51.0,1.0,8.0,1.22,59.0,59.0,2.0,0.0
372,m_gruneisen.F90,7.0,7.0,2.0,108.0,18.0,70.0,22.0,6.0,1.0,1.0,6.0,935.0,148.0,464.0,175.0,205.0,345.0,319.0,120.0,199.0,11.0,11.0,6.0,3.0,0.74,44.0,44.0,13.0,0.0
373,make_efg_ion.F90,33.0,33.0,1.0,194.0,21.0,132.0,85.0,1.0,0.0,1.0,1.0,255.0,24.0,134.0,30.0,103.0,143.0,128.0,23.0,105.0,33.0,33.0,1.0,12.0,1.07,33.0,33.0,1.0,0.0
