index,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
12,JarFsClassLoader.java,2.0,2.0,2.0,1.0,13.0,2.0,10.0,1.0,1.0,1.0,1.0,9.0,9.0,8.0,2.0,9.0,0.0,2.0,3.0,4.0,170.0,35.0,120.0,47.0,66.0,15.0,63.0,90.0,46.0,44.0,6.0,6.0,7.0,4.0,3.0,0.12,23.0,23.0,24.0,15.0,1.0
13,ConnectionLostException.java,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,14.0,4.0,10.0,5.0,3.0,0.0,4.0,7.0,5.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,12.0
14,PathAttributesPairImplementation.java,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,3.0,26.0,6.0,20.0,12.0,4.0,0.0,10.0,14.0,10.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0,4.0
15,PathAttributesPair.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,25.0,3.0,5.0,4.0,0.0,17.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,8.0
16,SshOutputStream.java,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,9.0,9.0,9.0,2.0,9.0,0.0,0.0,0.0,9.0,67.0,12.0,48.0,24.0,13.0,7.0,17.0,28.0,16.0,12.0,1.0,1.0,1.0,1.0,1.0,0.15,9.0,9.0,9.0,9.0,11.0
17,FileSystemImplementation.java,2.0,2.0,2.0,2.0,6.0,0.0,6.0,0.0,1.0,0.0,0.0,9.0,9.0,9.0,6.0,9.0,0.0,0.0,0.0,9.0,90.0,16.0,74.0,32.0,35.0,0.0,38.0,57.0,25.0,32.0,10.0,10.0,10.0,10.0,2.0,0.0,20.0,20.0,20.0,18.0,10.0
18,PasswordCredentialImplementation.java,1.0,1.0,1.0,1.0,7.0,0.0,3.0,4.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,25.0,4.0,10.0,5.0,2.0,11.0,4.0,7.0,5.0,2.0,2.0,2.0,2.0,1.0,0.0,1.1,3.0,3.0,3.0,2.0,13.0
19,LocalUtils.java,2.0,2.0,2.0,1.0,12.0,2.0,10.0,0.0,1.0,8.0,0.0,8.0,8.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,131.0,32.0,98.0,29.0,51.0,1.0,48.0,74.0,33.0,41.0,4.0,4.0,4.0,1.0,2.0,0.01,23.0,23.0,23.0,8.0,42.0
20,OctopusFactoryTest.java,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,6.0,15.0,12.0,2.0,0.0,10.0,12.0,11.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0
21,QueueStatusImplementation.java,1.0,1.0,1.0,1.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,6.0,6.0,6.0,4.0,6.0,0.0,0.0,0.0,6.0,49.0,11.0,38.0,21.0,10.0,0.0,18.0,25.0,15.0,10.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,6.0,6.0,6.0,13.0
